18856_1_1_1	18856_1_1_1
19110_1_1_1	19110_1_1_1
19432_1_1_1	19432_1_1_1
19432_1_1_1	27265_1_1_1
19432_1_1_1	25502_1_1_1
19432_1_1_1	30977_1_1_1
19432_1_1_1	27159_1_1_1
19432_1_1_1	25104_1_1_1
19432_1_1_1	27033_1_1_1
19689_1_1_1	19689_1_1_1
25003_1_1_1	25003_1_1_1
25003_1_1_1	19976_1_1_1
25177_1_1_1	25177_1_1_1
25476_1_1_1	25476_1_1_1
25734_1_1_1	25734_1_1_1
26949_1_1_1	26949_1_1_1
28071_1_1_1	28071_1_1_1
30080_5_5_2	30080_5_5_2
30085_6_6_2	30085_6_6_2
30085_6_6_2	30085_5_5_2
30417_1_1_1	30417_1_1_1
30628_1_1_1	30628_1_1_1
30628_1_1_1	30627_1_1_1
30911_1_1_1	30911_1_1_1
34163_1_1_1	34163_1_1_1
34308_1_1_1	34308_1_1_1
34481_1_1_1	34481_1_1_1
15595_1_1_1	15595_1_1_1
15805_1_1_1	15805_1_1_1
16145_1_1_1	16145_1_1_1
16145_1_1_1	25694_1_1_1
16145_1_1_1	15635_1_1_1
16145_1_1_1	15635_1_3_1
16145_1_1_1	15636_1_1_1
16145_1_1_1	16519_1_1_1
16145_1_1_1	15636_1_3_1
16145_1_1_1	15637_1_1_1
16145_1_1_1	15637_1_3_1
